Team_Name,Opp_Name,Date,Game_Round,Team_Outcome,Team_Goals,Team_Points,Team_Score,Opp_Goals,Opp_Points,Opp_Score,Venue
MONAGHAN,TIPPERARY,31/03/2002,"NFL, DIV 2  SB",LOSS,1,13,16,2,18,24,ARDFINNAN
ROSCOMMON,CAVAN,14/04/2002,"NFL, DIV 1  SEMI-FINAL",LOSS,3,12,21,5,13,28,MULLINGAR
MAYO,TYRONE,14/04/2002,"NFL, DIV 1  SEMI-FINAL",LOSS,0,11,11,3,12,21,ENNISKILLEN
MEATH,KERRY,14/04/2002,"NFL, DIV 2  SEMI-FINAL",LOSS,0,8,8,0,11,11,THE GAELIC GROUNDS
LAOIS,ARMAGH,14/04/2002,"NFL, DIV 2  SEMI-FINAL",WIN,0,12,12,0,8,8,PEARSE PARK
CAVAN,TYRONE,28/04/2002,"NFL, DIV 1  FINAL",LOSS,0,7,7,0,26,26,CLONES
LAOIS,KERRY,28/04/2002,"NFL, DIV 2  FINAL",LOSS,1,5,8,1,9,12,THE GAELIC GROUNDS
KERRY,CORK,01/02/2003,"NFL, DIV 1  SA",LOSS,1,9,12,4,8,20,PAIRC UI RINN
LONDON,ANTRIM,01/02/2003,"NFL, DIV 2  SA",LOSS,0,8,8,2,15,21,CASEMENT PARK
ARMAGH,DUBLIN,02/02/2003,"NFL, DIV 1  SA",WIN,1,15,18,0,7,7,CROKE PARK
KILDARE,CAVAN,02/02/2003,"NFL, DIV 1  SB",LOSS,2,10,16,3,10,19,NEWBRIDGE
FERMANAGH,DOWN,02/02/2003,"NFL, DIV 1  SB",LOSS,0,6,6,0,8,8,ENNISKILLEN
GALWAY,DONEGAL,02/02/2003,"NFL, DIV 1  SA",WIN,1,16,19,1,8,11,TUAM STADIUM
LAOIS,MEATH,02/02/2003,"NFL, DIV 1  SB",WIN,0,11,11,0,7,7,PAIRC TAILTEAN
SLIGO,MAYO,02/02/2003,"NFL, DIV 1  SB",LOSS,1,10,13,2,8,14,MCHALE PARK
ROSCOMMON,TYRONE,02/02/2003,"NFL, DIV 1  SA",WIN,0,11,11,0,10,10,DR HYDE PARK
CLARE,TIPPERARY,02/02/2003,"NFL, DIV 2  SB",WIN,1,12,15,1,6,9,ARDFINNAN
LEITRIM,LIMERICK,02/02/2003,"NFL, DIV 2  SA",LOSS,1,10,13,1,11,14,CLOONE
CARLOW,LONGFORD,02/02/2003,"NFL, DIV 2  SB",LOSS,0,12,12,3,13,22,DR CULLEN PARK
OFFALY,LOUTH,02/02/2003,"NFL, DIV 2  SA",WIN,2,12,18,2,10,16,DROGHEDA
WESTMEATH,WICKLOW,02/02/2003,"NFL, DIV 2  SA",WIN,2,16,22,0,5,5,AUGHRIM
WATERFORD,WEXFORD,02/02/2003,"NFL, DIV 2  SB",LOSS,1,8,11,0,15,15,ENNISCORTHY
LONDON,LOUTH,08/02/2003,"NFL, DIV 2  SB",LOSS,1,4,7,0,16,16,RUISLIP
ARMAGH,CORK,09/02/2003,"NFL, DIV 1  SA",WIN,0,9,9,1,3,6,CROSSMAGLEN
MEATH,CAVAN,09/02/2003,"NFL, DIV 1  SB",LOSS,0,7,7,1,16,19,BREFFNI PARK
DONEGAL,DUBLIN,09/02/2003,"NFL, DIV 1  SA",LOSS,0,9,9,1,10,13,BALLYSHANNON
ROSCOMMON,KERRY,09/02/2003,"NFL, DIV 1  SA",LOSS,0,4,4,2,11,17,TRALEE
SLIGO,KILDARE,09/02/2003,"NFL, DIV 1  SB",LOSS,1,10,13,1,11,14,MARKIEVICZ PARK
FERMANAGH,LAOIS,09/02/2003,"NFL, DIV 1  SB",LOSS,1,11,14,1,14,17,UNKNOWN
DOWN,MAYO,09/02/2003,"NFL, DIV 1  SB",LOSS,0,12,12,1,11,14,NEWCASTLE
GALWAY,TYRONE,09/02/2003,"NFL, DIV 1  SA",LOSS,0,11,11,1,13,16,POMEROY
CLARE,DERRY,09/02/2003,"NFL, DIV 2  SB",LOSS,1,10,13,1,14,17,"CUSACK PARK, ENNIS"
LIMERICK,ANTRIM,09/02/2003,"NFL, DIV 2  SA",WIN,2,13,19,1,11,14,THE GAELIC GROUNDS
CARLOW,MONAGHAN,09/02/2003,"NFL, DIV 2  SB",LOSS,0,5,5,1,12,15,CLONES
WICKLOW,OFFALY,09/02/2003,"NFL, DIV 2  SA",LOSS,1,7,10,2,13,19,TULLAMORE
WESTMEATH,LEITRIM,09/02/2003,"NFL, DIV 2  SA",WIN,0,8,8,0,5,5,"CUSACK PARK, ENNIS"
WATERFORD,TIPPERARY,09/02/2003,"NFL, DIV 2  SB",WIN,1,11,14,1,7,10,DUNGARVAN
LONGFORD,WEXFORD,09/02/2003,"NFL, DIV 2  SB",LOSS,1,6,9,1,12,15,PEARSE PARK
DONEGAL,ARMAGH,16/02/2003,"NFL, DIV 1  SA",LOSS,1,6,9,2,9,15,BALLYBOFEY
TYRONE,DUBLIN,16/02/2003,"NFL, DIV 1  SA",LOSS,0,11,11,0,12,12,PARNELL PARK
FERMANAGH,CAVAN,16/02/2003,"NFL, DIV 1  SB",WIN,1,11,14,1,9,12,BREWSTER PARK
GALWAY,KERRY,16/02/2003,"NFL, DIV 1  SA",WIN,1,13,16,0,9,9,PEARSE PARK
LAOIS,MAYO,16/02/2003,"NFL, DIV 1  SB",WIN,1,9,12,1,8,11,BALLINROBE
MEATH,KILDARE,16/02/2003,"NFL, DIV 1  SB",WIN,0,13,13,0,12,12,PAIRC TAILTEAN
ROSCOMMON,CORK,16/02/2003,"NFL, DIV 1  SA",WIN,1,12,15,1,11,14,DR HYDE PARK
SLIGO,DOWN,16/02/2003,"NFL, DIV 1  SB",WIN,1,11,14,1,10,13,NEWRY
CARLOW,CLARE,16/02/2003,"NFL, DIV 2  SB",WIN,3,6,15,0,14,14,DR CULLEN PARK
TIPPERARY,DERRY,16/02/2003,"NFL, DIV 2  SB",TIE,2,10,16,1,13,16,CELTIC PARK
LONDON,LIMERICK,16/02/2003,"NFL, DIV 2  SA",LOSS,0,4,4,2,20,26,THE GAELIC GROUNDS
OFFALY,LEITRIM,16/02/2003,"NFL, DIV 2  SA",LOSS,1,8,11,2,6,12,CARRICK ON SHANNON
WICKLOW,LOUTH,16/02/2003,"NFL, DIV 2  SA",LOSS,0,8,8,2,13,19,AUGHRIM
WATERFORD,LONGFORD,16/02/2003,"NFL, DIV 2  SB",LOSS,0,8,8,3,13,22,PEARSE PARK
